사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%)
"1,832.5",77.3,22.7,"5,938.8",68.6,31.4,"1,069.3",66.1,33.9,"1,211.0",81.8,18.2,"1,641.1",82.7,17.3,"5,975.8",74.3,25.7,"1,111.4",58.7,41.3,"1,425.4",91.7,8.3
536.2,74.3,25.7,"2,986.5",66.2,33.8,514.5,69.3,30.7,504.4,81.4,18.6,446.3,84.4,15.6,"2,998.3",73.2,26.8,546.0,61.7,38.3,600.9,91.4,8.6
"1,296.3",78.5,21.5,"2,952.3",71.1,28.9,554.7,63.1,36.9,706.6,82.0,18.0,"1,194.8",82.1,17.9,"2,977.5",75.4,24.6,565.5,55.8,44.2,824.5,91.9,8.1
24.6,81.1,18.9,240.7,64.4,35.6,19.1,74.8,25.2,46.9,81.5,18.5,9.3,75.4,24.6,258.6,69.1,30.9,23.1,79.3,20.7,65.6,87.7,12.3
223.2,72.5,27.5,"1,341.3",67.3,32.7,331.1,66.0,34.0,396.1,78.9,21.1,145.8,77.7,22.3,"1,267.2",75.6,24.4,368.8,57.9,42.1,400.2,91.5,8.5
432.9,81.6,18.4,"1,341.4",72.5,27.5,330.5,63.7,36.3,310.4,87.3,12.7,363.8,83.8,16.2,"1,222.2",77.1,22.9,335.8,61.2,38.8,341.3,94.9,5.1
525.8,77.8,22.2,"1,477.0",69.8,30.2,273.3,68.8,31.2,273.1,77.6,22.4,500.8,81.7,18.3,"1,499.4",73.2,26.8,279.2,55.8,44.2,357.1,91.1,8.9
471.5,76.6,23.4,"1,168.3",68.2,31.8,103.9,65.2,34.8,163.5,83.8,16.2,422.8,83.4,16.6,"1,243.0",71.3,28.7,79.4,58.6,41.4,208.8,90.1,9.9
135.5,75.0,25.0,346.4,58.0,42.0,11.4,69.4,30.6,18.6,90.8,9.2,173.7,87.4,12.6,439.5,78.0,22.0,24.5,50.1,49.9,42.8,84.9,15.1
18.9,49.3,50.7,23.7,70.4,29.6,0,0,0,2.4,100.0,0.0,25.0,72.8,27.2,45.8,70.2,29.8,0.6,100.0,0.0,9.6,98.8,1.2
441.1,76.7,23.3,"1,465.9",69.0,31.0,232.2,71.3,28.7,334.7,82.1,17.9,380.9,86.2,13.8,"1,438.3",74.5,25.5,242.5,57.2,42.8,388.6,90.9,9.1
16.6,69.3,30.7,87.2,50.9,49.1,15.5,39.0,61.0,18.1,90.0,10.0,36.7,90.4,9.6,83.3,88.3,11.7,6.8,79.2,20.8,17.2,86.2,13.8
43.3,58.5,41.5,181.6,61.2,38.8,22.1,55.9,44.1,36.2,71.9,28.1,31.0,63.2,36.8,166.4,77.9,22.1,23.6,40.5,59.5,45.2,83.3,16.7
307.7,81.8,18.2,771.4,76.4,23.6,83.7,55.8,44.2,182.8,88.0,12.0,209.6,79.6,20.4,661.0,83.6,16.4,74.0,66.2,33.8,107.5,89.1,10.9
604.8,80.4,19.6,"1,771.3",68.3,31.7,325.0,67.6,32.4,345.8,82.2,17.8,510.9,83.4,16.6,"1,785.7",74.5,25.5,375.7,55.0,45.0,432.4,94.0,6.0
265.7,72.6,27.4,"1,115.7",69.2,30.8,275.6,67.5,32.5,203.5,77.4,22.6,358.2,83.2,16.8,"1,280.7",73.5,26.5,301.4,63.6,36.4,300.2,94.6,5.4
83.3,72.2,27.8,312.0,59.0,41.0,55.7,61.6,38.4,54.4,75.0,25.0,73.3,71.8,28.2,325.6,63.1,36.9,40.2,44.1,55.9,68.1,81.7,18.3
70.1,71.6,28.4,233.5,65.7,34.3,59.4,61.3,38.7,35.5,83.5,16.5,40.6,81.1,18.9,234.8,56.9,43.1,47.2,71.4,28.6,66.3,89.4,10.6
10.0,61.6,38.4,15.7,49.9,50.1,0,0,0,0,0,0,11.6,83.1,16.9,16.5,72.0,28.0,0.1,100.0,0.0,1.3,91.2,8.8
50.5,64.2,35.8,160.3,67.1,32.9,5.6,62.5,37.5,23.6,94.9,5.1,52.1,94.3,5.7,167.5,78.6,21.4,12.0,48.7,51.3,19.4,84.2,15.8
634.6,79.0,21.0,"1,800.8",69.6,30.4,141.8,74.2,25.8,303.5,82.3,17.7,600.6,85.8,14.2,"1,875.2",78.3,21.7,191.2,58.5,41.5,409.2,92.8,7.2
